Brand,Model,Adtype,Fuel,Year,Price,PriceType,Kilometers,Condition,Color,Transimition,Bodytype,CarUrl
Mercedes-Benz,GLC 200,For Sale,Benzine,2023,"2,000,000",Price,Not Availiable,New,Gold,Automatic,Coupe,https://www.olx.com.eg/en/ad/mercedes-benz-glc-200-coupe-2023-brand-new-ID196978484.html
BMW,418,For Sale,Benzine,2022,"1,850,000",Price,Not Availiable,New,White,Automatic,Coupe,https://www.olx.com.eg/en/ad/b-m-w-g22-4-series-430i-m-performance-kit-coupe-ID196472437.html
Jaguar,XE,For Sale,Benzine,2020,"2,600,000",Price,10000 to 19999,Used,White,Automatic,Sedan,https://www.olx.com.eg/en/ad/jaguar-xe-p250-ID195582491.html
Kia,Sportage,For Sale,Benzine,2021,"1,400,000",Price,60000 to 69999,Used,Red,Automatic,SUV,https://www.olx.com.eg/en/ad/%D8%B3%D8%A8%D9%88%D8%B1%D8%AA%D8%A7%D8%AC-2021-%D8%A3%D8%B9%D9%84%D9%89-%D9%81%D8%A6%D8%A9-%D8%AA%D9%88%D8%A8-%D9%84%D8%A7%D9%8A%D9%86-ID196962966.html
Land Rover,Velar,For Sale,Benzine,2023,"4,450,000",Price,Not Availiable,New,White,Automatic,SUV,https://www.olx.com.eg/en/ad/%D8%B1%D8%A7%D9%86%D8%AC-%D8%B1%D9%88%D9%81%D8%B1-%D9%81%D9%8A%D9%84%D8%A7%D8%B1-2023-ID196946454.html
BYD,F3,For Sale,Natural Gas,2012,"150,000",Price,More than 200000,Used,Black,Manual,Sedan,https://www.olx.com.eg/en/ad/%D8%A8%D9%8A-%D9%88%D8%A7%D9%8A-%D8%AF%D9%8A-2012-%D8%A8%D9%87%D8%A7-%D8%BA%D8%A7%D8%B2-ID196962971.html
Kia,Sportage,For Sale,Benzine,2022,"1,480,000",Price,30000 to 39999,Used,Red,Automatic,SUV,https://www.olx.com.eg/en/ad/%D8%B3%D8%A8%D9%88%D8%B1%D8%AA%D8%A7%D8%AC-%D9%A2%D9%A0%D9%A2%D9%A2-%D9%87%D8%A7%D9%8A-%D9%84%D8%A7%D9%8A%D9%86-%D8%A8%D9%84%D8%A7%D8%B3-ID196968347.html
Skoda,Octavia,For Sale,Benzine,2020,"925,000",Price,100000 to 119999,Used,White,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D8%A7%D9%88%D9%83%D8%AA%D8%A7%D9%81%D9%8A%D8%A7-a7-%D9%A2%D9%A0%D9%A2%D9%A0-%D8%A7%D9%85%D8%A8%D9%8A%D8%B4%D9%86-ID196968297.html
Jeep,Renegade,For Sale,Benzine,2017,"760,000",Price,90000 to 99999,Used,Silver,Automatic,SUV,https://www.olx.com.eg/en/ad/jeep-renegade-2017-%D9%81%D8%A7%D8%A8%D8%B1%D9%8A%D9%83%D8%A9-%D8%A8%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84-%D9%83%D8%A7%D9%84%D8%B2%D9%8A%D8%B1%D9%88-ID196991507.html
Mercedes-Benz,GLC 300,For Sale,Benzine,2023,"4,900,000",Price,Not Availiable,New,White,Automatic,SUV,https://www.olx.com.eg/en/ad/glc-300-4matic-suv-new-shape-%D8%AC%D9%8A-%D8%A7%D9%84-%D8%B3%D9%8A-%D9%A3%D9%A0%D9%A0-2023-ID197024335.html
